CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents
"04/28/2018,13:44:00,3AF,2200 MARYLAND AVE,ROBBERY - STREET,O,FIREARM,514,NORTHERN,Old Goucher,-76.6181,39.31434,""(39.314340000000, -76.618100000000)"",STREET,1"
"04/28/2018,13:30:00,6D,6300 EASTERN AVE,LARCENY FROM AUTO,O,,242,SOUTHEASTERN,Pulaski Industrial Area,-76.53982,39.28761,""(39.287610000000, -76.539820000000)"",PARKING LO,1"
"04/28/2018,13:00:00,5A,4100 6TH ST,BURGLARY,I,,913,SOUTHERN,Brooklyn,-76.60211,39.22954,""(39.229540000000, -76.602110000000)"",ROW/TOWNHO,1"
"04/28/2018,12:14:00,4C,900 N CHARLES ST,AGG. ASSAULT,I,OTHER,142,CENTRAL,Mount Vernon,-76.61589,39.30063,""(39.300630000000, -76.615890000000)"",OTHER - IN,1"
"04/28/2018,12:14:00,4E,3500 BELAIR RD,COMMON ASSAULT,O,OTHER,432,NORTHEASTERN,Belair-Edison,-76.57089,39.32362,""(39.323620000000, -76.570890000000)"",STREET,1"
"04/28/2018,12:00:00,4E,300 MARTINGALE AVE,COMMON ASSAULT,I,OTHER,833,SOUTHWESTERN,Irvington,-76.69035,39.28029,""(39.280290000000, -76.690350000000)"",ROW/TOWNHO,1"
"04/28/2018,12:00:00,6G,0 GRANT ST,LARCENY,I,,111,CENTRAL,Downtown,-76.61285,39.28806,""(39.288060000000, -76.612850000000)"",APT/CONDO,1"
"04/28/2018,11:55:00,4B,1500 MADISON AVE,AGG. ASSAULT,I,KNIFE,132,CENTRAL,Madison Park,-76.62928,39.30492,""(39.304920000000, -76.629280000000)"",APT/CONDO,1"
"04/28/2018,11:45:00,6C,3500 BOSTON ST,LARCENY,I,,233,SOUTHEASTERN,Canton Industrial Area,-76.56706,39.27705,""(39.277050000000, -76.567060000000)"",OTHER - IN,1"
"04/28/2018,11:16:00,4A,3600 EASTERN AVE,AGG. ASSAULT,O,FIREARM,233,SOUTHEASTERN,Brewers Hill,-76.56703,39.28659,""(39.286590000000, -76.567030000000)"",STREET,1"
